product_id,search_keyword,product_name,price,item_sold,shop_name,shop_type,location
P101,kabel data type c,Kabel Data Type C Fast Charging 66W 6A Tebal,18500,4500,GadgetOfficial,official,Jakarta Barat
P102,kabel data type c,Kabel Data Type C Braided 1 Meter Quick Charge,12000,8200,BintangAksesoris,star,Jakarta Utara
P103,kabel data type c,Kabel Charger Type C Silikon Anti Kusut 120W,15000,3100,TokoKabelMurah,regular,Surabaya
P104,kabel data type c,Kabel Type C to Type C PD 60W Laptop & HP,28000,1900,AnkerStyleStore,star,Tangerang
P105,kabel data type c,Kabel Type C Magnetic Fast Charge 5A,9500,6700,AksesorisKita,regular,Bandung
P201,earphone gaming murah,Earphone Gaming TWS Bluetooth 5.3 Low Latency,89000,3200,GamersHub,star,Jakarta Selatan
P202,earphone gaming murah,Headset Gaming Wired 3.5mm Surround Stereo,45000,5800,SoundProID,regular,Bekasi
P203,earphone gaming murah,Earphone Kabel In-Ear Gaming Noise Cancel,32000,7400,AudioMurah,regular,Surabaya
P204,earphone gaming murah,TWS Earbuds Gaming RGB 40ms Latency,125000,1500,TechGearOfficial,official,Jakarta Pusat
P205,earphone gaming murah,Earphone Gaming Wired 7.1 Virtual Surround,55000,2900,GamersStore,regular,Depok
P301,holder hp motor,Holder HP Motor Sepeda 360 Rotasi Anti Getar,18000,9800,MotoAccessory,star,Jakarta Timur
P302,holder hp motor,Dudukan HP Motor Universal Waterproof,25000,5400,BikerGear,regular,Bandung
P303,holder hp motor,Holder Handphone Motor Carbon Fiber Look,35000,2100,RacingStyle,regular,Surabaya
P304,holder hp motor,Bracket HP Motor Aluminium CNC Anti Slip,42000,1700,AlumStyle,regular,Tangerang
P305,holder hp motor,Holder HP Motor Adjustable Clamp Wide,15500,12300,MurahMeriah,regular,Semarang
P401,botol susu bayi,Botol Susu Bayi Anti Kolik 250ml BPA Free,78000,6500,BabyLand,official,Jakarta Barat
P402,botol susu bayi,Botol Susu Kaca Bayi 150ml Slow Flow,95000,3200,NaturalBaby,star,Surabaya
P403,botol susu bayi,Botol Susu Newborn PP 120ml Anti Bingung Puting,55000,8100,BundaShop,regular,Bandung
P404,botol susu bayi,Botol PPSU Bayi 240ml Wide Neck Anti Kolik,135000,1400,PremiumBaby,official,Jakarta Selatan
P405,botol susu bayi,Botol Susu Silikon Bayi 160ml Squeeze,68000,4300,SilikonBaby,regular,Depok
P501,bumbu instan,Bumbu Instan Rendang Serbaguna Halal 80gr,12500,14500,BumbuNusantara,star,Padang
P502,bumbu instan,Bumbu Instan Gulai Kambing Otentik,9800,11200,DapurMinang,regular,Jakarta Pusat
P503,bumbu instan,Bumbu Racik Soto Ayam 3 Rempah Asli,7500,18900,BumbuSurabaya,regular,Surabaya
P504,bumbu instan,Bumbu Instan Opor Ayam Premium Ibu Rumahan,11000,9700,RumahBumbu,regular,Semarang
P505,bumbu instan,Bumbu Nasi Goreng Kampoeng 3 Pcs,15000,7800,BumbuOfficialStore,official,Bogor
P601,rak bumbu dapur,Rak Bumbu Dapur Stainless 3 Susun,45000,7200,KitchenMate,star,Jakarta Utara
P602,rak bumbu dapur,Organizer Bumbu Dapur Putar 360 Derajat,38000,5100,HomeDeco,regular,Bandung
P603,rak bumbu dapur,Rak Botol Kaca Dapur Gantung Dinding,32000,3800,WallOrganizer,regular,Surabaya
P604,rak bumbu dapur,Rak Bumbu Plastik Tahan Panas 2 Tingkat,22000,8600,PlasticHouse,regular,Bekasi
P605,rak bumbu dapur,Rak Bumbu Bambu Natural Eco Kitchen,55000,2400,EcoLiving,regular,Yogyakarta
P701,saringan minyak goreng,Saringan Minyak Goreng Stainless 18cm,28000,11300,KitchenTools,star,Jakarta Selatan
P702,saringan minyak goreng,Penyaring Minyak Plastik Anti Tumpah 2L,18500,8700,DapurPraktis,regular,Surabaya
P703,saringan minyak goreng,Saringan Minyak Goreng Kaca Borosilikat,65000,2300,GlassKitchen,regular,Bandung
P704,saringan minyak goreng,Tempat Minyak Goreng Bekas Stainless Filter,42000,5100,CleanKitchen,regular,Tangerang
P705,saringan minyak goreng,Oil Strainer Pot Anti Panas 1.5L,35000,4200,KooKing,regular,Semarang
P801,talenan kayu,Talenan Kayu Akasia Premium Tebal 2cm,85000,4600,WoodCraft,star,Jepara
P802,talenan kayu,Talenan Kayu Bambu Anti Bakteri 30x20cm,45000,7800,BambooLife,regular,Bandung
P803,talenan kayu,Cutting Board Kayu Ramin Ukir Motif,65000,2900,UkirArt,regular,Yogyakarta
